epoch,i,t,trained_until,n_x,n_y,n_z,x,y,z,dx_dt,dy_dt,dz_dt,f_x,f_y,f_z,r_x,r_y,r_z,r_sq,loss_contribution,ref_x,ref_y,ref_z,err_x,err_y,err_z,err_norm
3936,0,0,0.982552593,-0.075264868,0.800452771,-0.281500693,0.5,0.75,1,-0.075264868,0.800452771,-0.281500693,-0.075,0.8,-0.28125,-0.000264868045,0.000452770522,-0.00025069332,3.38003368e-07,1.10027138e-10,0.5,0.75,1,0,0,0,0
3936,1,0.000959524016,0.982552593,-0.0752913331,0.800282392,-0.281620967,0.499927756,0.75076789,0.999729778,-0.0753177863,0.800111993,-0.281741215,-0.0750565016,0.799668263,-0.28149728,-0.000261284694,0.000443729543,-0.000243934456,3.24669617e-07,1.05686724e-10,0.499928009,0.75076746,0.999730015,-2.52438575e-07,4.29814633e-07,-2.37307034e-07,5.52069272e-07
3936,2,0.00191904803,0.982552593,-0.0753177744,0.800111972,-0.281741188,0.499855462,0.751535453,0.999459325,-0.0753706334,0.799771092,-0.281981574,-0.0751129117,0.799336324,-0.281744326,-0.000257721676,0.000434768136,-0.000237248646,3.11730714e-07,1.01474842e-10,0.499855963,0.751534603,0.999459793,-5.01472493e-07,8.50428063e-07,-4.68181197e-07,1.09265557e-06
3936,3,0.00287857205,0.982552593,-0.075344192,0.799941511,-0.281861354,0.499783116,0.752302689,0.999188642,-0.0754234092,0.799430067,-0.282221772,-0.0751692302,0.799004181,-0.281991137,-0.000254178952,0.000425886013,-0.000230635575,2.99178604e-07,9.73888686e-11,0.499783863,0.752301427,0.999189334,-7.47120774e-07,1.26192688e-06,-6.92690657e-07,1.62187214e-06
3936,4,0.00383809606,0.982552593,-0.0753705859,0.799771009,-0.281981467,0.49971072,0.753069598,0.998917728,-0.0754761137,0.799088919,-0.282461808,-0.0752254572,0.798671836,-0.282237714,-0.000250656482,0.000417082887,-0.000224094924,2.87005342e-07,9.3426218e-11,0.49971171,0.753067934,0.998918639,-9.89402404e-07,1.66439732e-06,-9.10903305e-07,2.13983186e-06
3936,5,0.00479762008,0.982552593,-0.0753969559,0.799600466,-0.282101525,0.499638274,0.753836179,0.998646584,-0.0755287468,0.798747648,-0.282701682,-0.0752815925,0.798339289,-0.282484056,-0.000247154226,0.000408358469,-0.000217626377,2.75203091e-07,8.95843395e-11,0.499639502,0.753834121,0.998647707,-1.22833633e-06,2.05792524e-06,-1.12288676e-06,2.64664715e-06
3936,6,0.0057571441,0.982552593,-0.0754233022,0.799429882,-0.282221529,0.499565777,0.754602433,0.99837521,-0.0755813084,0.798406253,-0.282941393,-0.0753376363,0.79800654,-0.282730163,-0.000243672145,0.000399712472,-0.000211229616,2.63764125e-07,8.58607178e-11,0.499567241,0.75459999,0.998376539,-1.46394149e-06,2.44259615e-06,-1.32870835e-06,3.14243003e-06
3936,7,0.00671666811,0.982552593,-0.0754496247,0.799259257,-0.282341479,0.49949323,0.755368359,0.998103606,-0.0756337985,0.798064735,-0.28318094,-0.0753935883,0.79767359,-0.282976036,-0.000240210198,0.000391144606,-0.000204904325,2.52680824e-07,8.22528724e-11,0.499494926,0.755365541,0.998105134,-1.69623675e-06,2.81849518e-06,-1.52843515e-06,3.62729213e-06
3936,8,0.00767619213,0.982552593,-0.0754759233,0.79908859,-0.282461375,0.499420632,0.756133958,0.997831772,-0.075686217,0.797723094,-0.283420325,-0.0754494487,0.797340439,-0.283221674,-0.000236768346,0.000382654583,-0.000198650186,2.41945676e-07,7.8758358e-11,0.499422558,0.756130772,0.997833494,-1.92524097e-06,3.18570711e-06,-1.72213394e-06,4.10134464e-06
3936,9,0.00863571615,0.982552593,-0.0755021981,0.798917883,-0.282581217,0.499347984,0.756899228,0.997559709,-0.0757385639,0.79738133,-0.283659545,-0.0755052174,0.797007088,-0.283467078,-0.000233346548,0.000374242116,-0.000192466881,2.31551273e-07,7.53747634e-11,0.499350135,0.756895684,0.997561619,-2.15097298e-06,3.54431636e-06,-1.90987122e-06,4.56469838e-06
3936,10,0.00959524016,0.982552593,-0.075528449,0.798747134,-0.282701004,0.499275286,0.757664171,0.997287416,-0.0757908391,0.797039443,-0.283898601,-0.0755608943,0.796673536,-0.283712247,-0.000229944765,0.000365906915,-0.000186354095,2.21490314e-07,7.20997117e-11,0.49927766,0.757660276,0.997289508,-2.37345156e-06,3.89440697e-06,-2.09171323e-06,5.01746372e-06
3936,11,0.0105547642,0.982552593,-0.0755546761,0.798576344,-0.282820736,0.499202538,0.758428785,0.997014894,-0.0758430424,0.796697434,-0.284137492,-0.0756164795,0.796339785,-0.283957181,-0.000226562956,0.000357648693,-0.00018031151,2.11755601e-07,6.89308597e-11,0.499205131,0.758424549,0.997017162,-2.59269547e-06,4.23606264e-06,-2.26772591e-06,5.45975066e-06
3936,12,0.0115142882,0.982552593,-0.0755808793,0.798405514,-0.282940414,0.49912974,0.759193071,0.996742143,-0.0758951739,0.796355301,-0.284376219,-0.0756719728,0.796005834,-0.28420188,-0.000223201083,0.000349467159,-0.000174338809,2.02340039e-07,6.58658981e-11,0.499132549,0.759188502,0.996744581,-2.80872343e-06,4.56936669e-06,-2.43797495e-06,5.89166879e-06
3936,13,0.0124738122,0.982552593,-0.0756070585,0.798234642,-0.283060037,0.499056892,0.759957029,0.996469162,-0.0759472335,0.796013047,-0.28461478,-0.0757273744,0.795671685,-0.284446345,-0.000219859104,0.000341362026,-0.000168435675,1.93236635e-07,6.29025505e-11,0.499059913,0.759952135,0.996471765,-3.02155413e-06,4.8944021e-06,-2.60252574e-06,6.31332729e-06
3936,14,0.0134333362,0.982552593,-0.0756332139,0.79806373,-0.283179605,0.498983994,0.760720658,0.996195953,-0.0759992211,0.795670669,-0.284853176,-0.0757826841,0.795337336,-0.284690574,-0.000216536979,0.000333333005,-0.000162601792,1.84438499e-07,6.00385737e-11,0.498987225,0.760715447,0.996198715,-3.23120622e-06,5.21125145e-06,-2.7614434e-06,6.72483494e-06
3936,15,0.0143928602,0.982552593,-0.0756593453,0.797892777,-0.283299118,0.498911046,0.761483959,0.995922515,-0.0760511367,0.795328169,-0.285091406,-0.075837902,0.79500279,-0.284934569,-0.00021323467,0.000325379807,-0.000156836842,1.75938838e-07,5.72717572e-11,0.498914483,0.761478439,0.99592543,-3.43769832e-06,5.51999701e-06,-2.91479277e-06,7.12630014e-06
3936,16,0.0153523843,0.982552593,-0.0756854527,0.797721782,-0.283418577,0.498838048,0.762246931,0.995648849,-0.0761029801,0.794985547,-0.285329469,-0.075893028,0.794668045,-0.285178328,-0.000209952135,0.000317502143,-0.000151140509,1.67730963e-07,5.45999228e-11,0.498841689,0.762241111,0.995651912,-3.64104903e-06,5.82072065e-06,-3.06263842e-06,7.51783087e-06
3936,17,0.0163119083,0.982552593,-0.0757115362,0.797550747,-0.28353798,0.498765,0.763009575,0.995374954,-0.0761547514,0.794642803,-0.285567366,-0.0759480621,0.794333103,-0.285421853,-0.000206689334,0.000309699723,-0.000145512476,1.5980828e-07,5.20209244e-11,0.498768842,0.763003461,0.99537816,-3.8412769e-06,6.11350389e-06,-3.20504462e-06,7.89953473e-06
3936,18,0.0172714323,0.982552593,-0.0757375957,0.797379671,-0.283657328,0.498691903,0.763771889,0.995100832,-0.0762064504,0.794299937,-0.285805095,-0.0760030042,0.793997964,-0.285665143,-0.000203446227,0.00030197226,-0.000139952426,1.52164294e-07,4.95326479e-11,0.498695942,0.763765491,0.995104174,-4.03840045e-06,6.39842789e-06,-3.34207539e-06,8.27151894e-06
3936,19,0.0182309563,0.982552593,-0.0757636312,0.797208554,-0.283776621,0.498618757,0.764533874,0.994826481,-0.0762580771,0.793956948,-0.286042657,-0.0760578544,0.793662629,-0.285908197,-0.000200222774,0.000294319462,-0.000134460043,1.44792609e-07,4.71330106e-11,0.498622989,0.764527199,0.994829955,-4.23243816e-06,6.67557346e-06,-3.47379446e-06,8.63389031e-06
3936,20,0.0191904803,0.982552593,-0.0757896426,0.797037397,-0.283895858,0.49854556,0.76529553,0.994551902,-0.0763096315,0.793613838,-0.286280052,-0.0761126126,0.793327097,-0.286151017,-0.000197018936,0.000286741043,-0.000129035011,1.3768692e-07,4.48199611e-11,0.498549984,0.765288585,0.994555502,-4.4234085e-06,6.94502104e-06,-3.60026528e-06,8.98675526e-06
3936,21,0.0201500043,0.982552593,-0.07581563,0.796866199,-0.28401504,0.498472315,0.766056857,0.994277096,-0.0763611134,0.793270605,-0.286517278,-0.0761672787,0.792991369,-0.286393601,-0.00019383467,0.000279236711,-0.000123677012,1.30841023e-07,4.25914789e-11,0.498476926,0.766049651,0.994280817,-4.61132988e-06,7.20685072e-06,-3.72155101e-06,9.33021985e-06
3936,22,0.0211095284,0.982552593,-0.0758415934,0.796694959,-0.284134166,0.49839902,0.766817855,0.994002062,-0.0764125228,0.792927251,-0.286754336,-0.0762218529,0.792655445,-0.28663595,-0.000190669938,0.000271806177,-0.00011838573,1.24248805e-07,4.04455744e-11,0.498403816,0.766810394,0.994005899,-4.79622068e-06,7.4611422e-06,-3.83771455e-06,9.66438972e-06
3936,23,0.0220690524,0.982552593,-0.0758675327,0.79652368,-0.284253237,0.498325675,0.767578523,0.9937268,-0.0764638597,0.792583776,-0.286991225,-0.076276335,0.792319326,-0.286878064,-0.0001875247,0.000264449153,-0.000113160849,1.17904245e-07,3.83802882e-11,0.498330654,0.767570815,0.993730749,-4.97809926e-06,7.70797487e-06,-3.94881851e-06,9.98937017e-06
3936,24,0.0230285764,0.982552593,-0.0758934479,0.796352359,-0.284372252,0.498252282,0.768338861,0.993451312,-0.0765151239,0.792240178,-0.287227945,-0.076330725,0.791983013,-0.287119943,-0.000184398913,0.000257165349,-0.000108002052,1.11801419e-07,3.63936911e-11,0.498257439,0.768330914,0.993455367,-5.15698394e-06,7.94742772e-06,-4.05492522e-06,1.03052661e-05
3936,25,0.0239881004,0.982552593,-0.075919339,0.796180998,-0.284491212,0.498178839,0.76909887,0.993175596,-0.0765663154,0.79189646,-0.287464496,-0.0763850229,0.791646505,-0.287361587,-0.00018129254,0.000249954474,-0.000102909024,1.05934491e-07,3.44838839e-11,0.498184172,0.76909069,0.993179752,-5.332893e-06,8.1795794e-06,-4.15609675e-06,1.0612182e-05
