epoch,i,t,trained_until,n_x,n_y,n_z,x,y,z,dx_dt,dy_dt,dz_dt,f_x,f_y,f_z,r_x,r_y,r_z,r_sq,loss_contribution,ref_x,ref_y,ref_z,err_x,err_y,err_z,err_norm
2000,0,0,0.982552593,-0.075264868,0.800452771,-0.281500693,0.5,0.75,1,-0.075264868,0.800452771,-0.281500693,-0.075,0.8,-0.28125,-0.000264868045,0.000452770522,-0.00025069332,3.38003368e-07,1.10027138e-10,0.5,0.75,1,0,0,0,0
2000,1,0.000959524016,0.982552593,-0.0752913331,0.800282392,-0.281620967,0.499927756,0.75076789,0.999729778,-0.0753177863,0.800111993,-0.281741215,-0.0750565016,0.799668263,-0.28149728,-0.000261284694,0.000443729543,-0.000243934456,3.24669617e-07,1.05686724e-10,0.499928009,0.75076746,0.999730015,-2.52438575e-07,4.29814633e-07,-2.37307034e-07,5.52069272e-07
2000,2,0.00191904803,0.982552593,-0.0753177744,0.800111972,-0.281741188,0.499855462,0.751535453,0.999459325,-0.0753706334,0.799771092,-0.281981574,-0.0751129117,0.799336324,-0.281744326,-0.000257721676,0.000434768136,-0.000237248646,3.11730714e-07,1.01474842e-10,0.499855963,0.751534603,0.999459793,-5.01472493e-07,8.50428063e-07,-4.68181197e-07,1.09265557e-06
2000,3,0.00287857205,0.982552593,-0.075344192,0.799941511,-0.281861354,0.499783116,0.752302689,0.999188642,-0.0754234092,0.799430067,-0.282221772,-0.0751692302,0.799004181,-0.281991137,-0.000254178952,0.000425886013,-0.000230635575,2.99178604e-07,9.73888686e-11,0.499783863,0.752301427,0.999189334,-7.47120774e-07,1.26192688e-06,-6.92690657e-07,1.62187214e-06
2000,4,0.00383809606,0.982552593,-0.0753705859,0.799771009,-0.281981467,0.49971072,0.753069598,0.998917728,-0.0754761137,0.799088919,-0.282461808,-0.0752254572,0.798671836,-0.282237714,-0.000250656482,0.000417082887,-0.000224094924,2.87005342e-07,9.3426218e-11,0.49971171,0.753067934,0.998918639,-9.89402404e-07,1.66439732e-06,-9.10903305e-07,2.13983186e-06
2000,5,0.00479762008,0.982552593,-0.0753969559,0.799600466,-0.282101525,0.499638274,0.753836179,0.998646584,-0.0755287468,0.798747648,-0.282701682,-0.0752815925,0.798339289,-0.282484056,-0.000247154226,0.000408358469,-0.000217626377,2.75203091e-07,8.95843395e-11,0.499639502,0.753834121,0.998647707,-1.22833633e-06,2.05792524e-06,-1.12288676e-06,2.64664715e-06
2000,6,0.0057571441,0.982552593,-0.0754233022,0.799429882,-0.282221529,0.499565777,0.754602433,0.99837521,-0.0755813084,0.798406253,-0.282941393,-0.0753376363,0.79800654,-0.282730163,-0.000243672145,0.000399712472,-0.000211229616,2.63764125e-07,8.58607178e-11,0.499567241,0.75459999,0.998376539,-1.46394149e-06,2.44259615e-06,-1.32870835e-06,3.14243003e-06
2000,7,0.00671666811,0.982552593,-0.0754496247,0.799259257,-0.282341479,0.49949323,0.755368359,0.998103606,-0.0756337985,0.798064735,-0.28318094,-0.0753935883,0.79767359,-0.282976036,-0.000240210198,0.000391144606,-0.000204904325,2.52680824e-07,8.22528724e-11,0.499494926,0.755365541,0.998105134,-1.69623675e-06,2.81849518e-06,-1.52843515e-06,3.62729213e-06
2000,8,0.00767619213,0.982552593,-0.0754759233,0.79908859,-0.282461375,0.499420632,0.756133958,0.997831772,-0.075686217,0.797723094,-0.283420325,-0.0754494487,0.797340439,-0.283221674,-0.000236768346,0.000382654583,-0.000198650186,2.41945676e-07,7.8758358e-11,0.499422558,0.756130772,0.997833494,-1.92524097e-06,3.18570711e-06,-1.72213394e-06,4.10134464e-06
2000,9,0.00863571615,0.982552593,-0.0755021981,0.798917883,-0.282581217,0.499347984,0.756899228,0.997559709,-0.0757385639,0.79738133,-0.283659545,-0.0755052174,0.797007088,-0.283467078,-0.000233346548,0.000374242116,-0.000192466881,2.31551273e-07,7.53747634e-11,0.499350135,0.756895684,0.997561619,-2.15097298e-06,3.54431636e-06,-1.90987122e-06,4.56469838e-06
